,Implement,Load_Percentage,Speed,Area_Covered,HP_of_Tractor,Working_Depth,Working_Width,Fuel_Consumed,Fuel_Efficiency,Soil_Type,Terrain_Condition
1,Harrow,70.31575894148091,7.217708363802303,1.9856879972992656,74.26297455517884,15.927367332693738,,21.92,11.04,Silty,Slightly Hilly
2,Seeder,78.35606990427158,5.9909418714867115,1.3571001619309078,42.65911108471573,,2.2895776980170326,16.3,12.01,Silty,Slightly Hilly
3,Seeder,96.36856166806928,2.7831364024045806,1.7773985852045815,38.74854371780418,,3.347623723579033,14.05,7.9,Clay,Hilly
4,Seeder,99.96005513382627,4.831449276608877,2.1068618443769944,90.190486739357,,1.863375878414514,43.28,20.54,Clay,Hilly
5,Sprayer,89.46474916773784,3.2558234972333837,3.156365618857392,90.4385434412622,,2.784640445835293,85.28,27.02,Clay,Very Hilly
6,Harrow,83.80140119121504,3.699355786414711,4.689263810334988,80.0295517015415,20.791612521579676,,53.46,11.4,Silty,Hilly
7,Harrow,60.55493879817732,8.093816176811941,3.7846262889546396,36.48480500690284,28.15823998981577,,24.89,6.58,Sandy,Very Hilly
8,Rotavator,62.03428615131394,6.301095639894487,1.0711010551429023,84.29241903953721,8.267809499237753,,4.35,4.06,Loamy,Hilly
9,Plow,97.66543798620707,7.644479097548078,2.57807935221134,38.694042065124734,27.377544715427877,,27.71,10.75,Silty,Very Hilly
10,Seeder,78.71669293489191,2.516894117853182,2.479880866047152,83.76826088420248,,3.397224445467904,34.33,13.84,Silty,Very Hilly
11,Harrow,66.13425284472537,3.2560346376140075,1.901159116126149,71.4630173583079,13.120213101969862,,6.2,3.26,Silty,Hilly
12,Plow,64.83131481407742,4.491364651059771,1.1038427432864595,39.46046570336416,7.066771415260652,,1.28,1.16,Loamy,Very Hilly
13,Rotavator,89.6945688848069,8.388666306749073,3.823185219922286,97.00740680511643,20.087707579258996,,85.14,22.27,Silty,Very Hilly
14,Plow,62.41600847493072,6.936090275036883,0.592777846530671,88.23529956798265,29.22881740438178,,11.13,18.78,Loamy,Flat
15,Rotavator,59.5750413564362,5.414097798390233,1.4309384212364622,71.55731465618123,16.38507042605496,,11.26,7.87,Clay,Flat
16,Rotavator,71.80325188902096,3.4758719387380674,2.9169919065055314,42.63517484449828,10.624762221894098,,5.13,1.76,Loamy,Hilly
17,Sprayer,86.44074586405236,5.414332779704802,2.2083246855988428,98.01030601910772,,1.2259528315990826,40.37,18.28,Sandy,Flat
18,Harrow,54.40332544336323,4.892900710100432,0.9673013892468958,94.56878190192471,21.45445963881219,,7.72,7.98,Clay,Very Hilly
19,Harrow,84.008724923661,8.305455653685666,2.152832125139885,38.425107510649845,8.359220881947772,,15.14,7.03,Clay,Flat
20,Rotavator,79.79813726544987,3.4300255252034617,2.0164907655296878,38.711959813106176,22.201311731356643,,7.51,3.72,Loamy,Slightly Hilly
21,Sprayer,50.45879676739723,8.865732339350341,1.2244716828845272,35.027598590416225,,3.7106479804140955,21.24,17.34,Sandy,Slightly Hilly
23,Harrow,62.70176903804333,2.2482332884768095,2.2599180105685175,61.995863414837984,24.358566222431623,,11.11,4.92,Clay,Slightly Hilly
24,Rotavator,53.67656361002442,9.636124992255318,4.723296823341243,87.142865977611,21.856144851522664,,63.31,13.4,Sandy,Flat
25,Plow,96.45549294944524,7.376809910102354,0.6860086111317821,65.37908844229887,6.394563128925306,,3.73,5.43,Silty,Hilly
26,Harrow,70.10791448746059,7.726967399035035,4.230071520512595,68.40681978341496,18.933823321468445,,51.59,12.2,Loamy,Very Hilly
27,Seeder,62.17821996453399,5.015932314264298,3.785932281905753,69.83651030112398,,1.2271185770561712,31.27,8.26,Clay,Hilly
28,Plow,99.1427554592189,7.387937851256728,2.0786691392101866,34.89156591800213,8.059504664691298,,8.36,4.02,Silty,Flat
29,Rotavator,91.9491934503001,7.921364184579111,4.5259514128591425,52.72189516047106,28.385157111553895,,45.06,9.96,Sandy,Very Hilly
30,Sprayer,95.36912423158874,9.151521262983156,0.5716642512410974,41.436892004194206,,2.6804782839311345,13.73,24.02,Sandy,Very Hilly
31,Seeder,95.1821239822259,6.218722339244345,2.4838210989865765,61.390859943823074,,2.9101293396261445,63.95,25.75,Silty,Hilly
32,Harrow,51.072517878170046,5.012552342686437,1.9115981519447232,36.355209781357715,20.152783673587297,,5.38,2.81,Silty,Very Hilly
33,Rotavator,89.19945473845998,9.586716340580963,1.1411010435644617,74.1226458940039,10.06111951300408,,8.06,7.06,Loamy,Very Hilly
34,Harrow,88.63275589451663,9.007824536648204,2.053670198279553,78.22941121410565,18.59835851160628,,52.06,25.35,Silty,Hilly
35,Harrow,73.97799013102919,7.02910723259877,2.340772676707818,48.94107442553776,13.993450725354684,,24.59,10.51,Clay,Flat
36,Plow,61.33738171446571,3.0190475968634294,1.919841335898166,73.07306753905814,20.399840167925973,,6.21,3.23,Silty,Very Hilly
37,Seeder,59.330567228422595,7.7550053008837505,3.585959158892654,84.13584783492642,,1.8630045522424759,78.56,21.91,Loamy,Flat
38,Seeder,67.53576079408909,7.616481929261505,4.710871518242482,39.209662268487214,,2.987769282168028,67.67,14.36,Silty,Very Hilly
39,Rotavator,88.9514691087008,8.3880452325968,1.491846848091329,67.42313222475146,11.489222902513518,,13.39,8.98,Loamy,Hilly
40,Plow,91.30113013453591,8.983010157212824,1.9029141400666951,42.3413792296652,23.602918272877176,,19.92,10.47,Sandy,Hilly
41,Sprayer,51.54488767368654,2.0685454345640473,3.2695907950426024,83.15193700823882,,1.0074399493143815,11.14,3.41,Clay,Hilly
42,Sprayer,76.9647125178102,6.759755882140488,0.9529028501296267,59.8303235920826,,1.363129499217559,16.07,16.86,Silty,Hilly
43,Sprayer,76.93668423329478,2.433096505071946,3.074940741255618,61.10018203992609,,3.832453958634156,52.01,16.91,Silty,Hilly
44,Seeder,55.07794312890372,4.071924004841516,3.9743510781172504,48.020677890995636,,3.0051260849612698,42.67,10.74,Clay,Flat
45,Harrow,71.1526144512438,2.231976350864781,1.1466604239639693,46.947619458610866,27.346511105022703,,5.87,5.12,Silty,Slightly Hilly
46,Rotavator,62.08872987006794,3.9463192317780464,3.019790177187397,52.78094678172391,5.73688032376073,,6.29,2.08,Clay,Flat
47,Sprayer,99.37752035418995,3.203079768122575,4.731249749689156,68.18257684629359,,2.341639547439159,85.51,18.07,Clay,Hilly
48,Rotavator,90.82976479150975,5.195909868376718,2.341515190793057,74.40142239636123,22.873279301001354,,29.73,12.7,Loamy,Slightly Hilly
49,Harrow,63.1760097236988,7.424475322828798,2.7140867275319285,75.10502339729763,23.487253407763575,,45.01,16.58,Loamy,Flat
50,Rotavator,70.92473362962413,6.490992950187026,4.477337818053226,99.7618291084222,18.728651131776918,,63.38,14.16,Silty,Very Hilly
51,Plow,51.41132800116648,5.6045318038052585,0.6712459904144936,83.33167878402386,5.745910967569633,,2.21,3.3,Clay,Flat
52,Harrow,67.67025441765213,3.849467174055694,1.2251036482937028,72.63537967170355,26.3389790277896,,9.15,7.47,Sandy,Slightly Hilly
